"PROBEID","ENTREZID"
"243","200668_s_at","7323"
"244","200669_s_at","7323"
"245","200670_at","7494"
"246","200671_s_at","6711"
"247","200672_x_at","6711"
"248","200673_at","9741"
"249","200674_s_at","6161"
"250","200675_at","975"
"251","200676_s_at","7332"
"252","200677_at","754"
"253","200678_x_at","2896"
"254","200679_x_at","3146"
"255","200680_x_at","3146"
"256","200681_at","2739"
"257","200682_s_at","7332"
"258","200683_s_at","7332"
"259","200684_s_at","7332"
"260","200685_at","9295"
"261","200686_s_at","9295"
"262","200687_s_at","23450"
"263","200688_at","23450"
"264","200689_x_at","1937"
"265","200689_x_at","100500804"
"266","200690_at","3313"
"267","200691_s_at","3313"
"268","200692_s_at","3313"
"269","200693_at","10971"
"270","200694_s_at","57062"
"271","200695_at","5518"
"272","200696_s_at","2934"
"273","200697_at","3098"
"274","200698_at","11014"
"275","200699_at","11014"
"276","200700_s_at","11014"
"277","200701_at","10577"
"278","200702_s_at","57062"
"279","200703_at","8655"
"280","200704_at","9516"
"281","200705_s_at","1933"
"282","200705_s_at","619569"
"283","200706_s_at","9516"
"284","200707_at","5589"
"285","200708_at","2806"
"286","200709_at","2280"
"287","200710_at","37"
"288","200711_s_at","6500"
"289","200712_s_at","22919"
"290","200713_s_at","22919"
"291","200714_x_at","10956"
"292","200715_x_at","23521"
"293","200715_x_at","26816"
"294","200715_x_at","26817"
"295","200715_x_at","26818"
"296","200715_x_at","26819"
"297","200716_x_at","23521"
"298","200716_x_at","26816"
"299","200716_x_at","26817"
"300","200716_x_at","26818"
"301","200716_x_at","26819"
"302","200716_x_at","728658"
"303","200717_x_at","6129"
"304","200718_s_at","6500"
"305","200719_at","6500"
"306","200720_s_at","10121"
"307","200721_s_at","10121"
"308","200722_s_at","4076"
"309","200723_s_at","4076"
"310","200724_at","6134"
"311","200724_at","26778"
"312","200725_x_at","6134"
"313","200725_x_at","26778"
"314","200726_at","5501"
"315","200727_s_at","10097"
"316","200728_at","10097"
"317","200729_s_at","10097"
"318","200730_s_at","7803"
"319","200731_s_at","7803"
"320","200732_s_at","7803"
"321","200733_s_at","7803"
"322","200734_s_at","377"
"323","200735_x_at","4666"
"324","200736_s_at","2876"
"325","200737_at","5230"
"326","200738_s_at","5230"
"327","200739_s_at","6612"
"328","200740_s_at","6612"
"329","200741_s_at","6232"
"330","200742_s_at","1200"
"331","200743_s_at","1200"
"332","200744_s_at","2782"
"333","200745_s_at","2782"
"334","200746_s_at","2782"
"335","200747_s_at","4926"
"336","200748_s_at","2495"
"337","200749_at","5901"
"338","200750_s_at","5901"
"339","200751_s_at","3183"
"340","200752_s_at","823"
"341","200753_x_at","6427"
"342","200753_x_at","693221"
"343","200754_x_at","6427"
"344","200754_x_at","693221"
"345","200755_s_at","813"
"346","200756_x_at","813"
"347","200757_s_at","813"
"348","200758_s_at","4779"
"349","200759_x_at","4779"
"350","200760_s_at","10550"
"351","200761_s_at","10550"
"352","200762_at","1808"
"353","200763_s_at","6176"
"354","200764_s_at","1495"
"355","200765_x_at","1495"
"356","200766_at","1509"
"357","200767_s_at","23196"
"358","200768_s_at","4144"
"359","200769_s_at","4144"
"360","200770_s_at","3915"
"361","200771_at","3915"
"362","200772_x_at","5757"
"363","200772_x_at","728026"
"364","200772_x_at","100302285"
"365","200772_x_at","100422872"
"366","200772_x_at","100422885"
"367","200772_x_at","100506248"
"368","200773_x_at","5757"
"369","200774_at","23196"
"370","200775_s_at","3190"
"371","200776_s_at","9689"
"372","200777_s_at","9689"
"373","200778_s_at","4735"
"374","200779_at","468"
"375","200780_x_at","2778"
"376","200781_s_at","6210"
"377","200782_at","308"
"378","200783_s_at","3925"
"379","200784_s_at","4035"
"380","200785_s_at","4035"
"381","200786_at","5695"
"382","200787_s_at","8682"
"383","200788_s_at","8682"
"384","200789_at","1891"
"385","200790_at","4953"
"386","200791_s_at","8826"
"387","200792_at","2547"
"388","200793_s_at","50"
"389","200794_x_at","9802"
"390","200795_at","8404"
"391","200796_s_at","4170"
"392","200797_s_at","4170"
"393","200798_x_at","4170"
"394","200799_at","3303"
"395","200799_at","3304"
"396","200800_s_at","3303"
"397","200800_s_at","3304"
"398","200800_s_at","3305"
"399","200801_x_at","60"
"400","200802_at","6301"
"401","200803_s_at","7009"
"402","200804_at","7009"
"403","200805_at","10960"
"404","200806_s_at","3329"
"405","200807_s_at","3329"
"406","200808_s_at","7791"
"407","200809_x_at","6136"
"408","200810_s_at","1153"
"409","200811_at","1153"
"410","200812_at","10574"
"411","200813_s_at","5048"
"412","200814_at","5720"
"413","200815_s_at","5048"
"414","200816_s_at","5048"
"415","200817_x_at","6204"
"416","200818_at","539"
"417","200819_s_at","6209"
"418","200820_at","5714"
"419","200821_at","3920"
"420","200822_x_at","7167"
"421","200823_x_at","6159"
"422","200824_at","2950"
"423","200825_s_at","10525"
"424","200826_at","6633"
"425","200827_at","5351"
"426","200828_s_at","7756"
"427","200829_x_at","7756"
"428","200830_at","5708"
"429","200831_s_at","6319"
"430","200832_s_at","6319"
"431","200833_s_at","5908"
"432","200834_s_at","6227"
"433","200835_s_at","4134"
"434","200836_s_at","4134"
"435","200837_at","10134"
"436","200838_at","1508"
"437","200839_s_at","1508"
"438","200840_at","3735"
"439","200841_s_at","2058"
"440","200842_s_at","2058"
"441","200843_s_at","2058"
"442","200844_s_at","9588"
"443","200845_s_at","9588"
"444","200846_s_at","5499"
"445","200847_s_at","51669"
"446","200848_at","10768"
"447","200849_s_at","10768"
"448","200850_s_at","10768"
"449","200851_s_at","9798"
"450","200852_x_at","2783"
"451","200853_at","3015"
"452","200854_at","9611"
"453","200855_at","9611"
"454","200856_x_at","9611"
"455","200857_s_at","9611"
"456","200858_s_at","6202"
"457","200858_s_at","26811"
"458","200858_s_at","94163"
"459","200859_x_at","2316"
"460","200860_s_at","23019"
"461","200861_at","23019"
"462","200862_at","1718"
"463","200863_s_at","8766"
"464","200864_s_at","8766"
"465","200865_at","8665"
"466","200866_s_at","5660"
"467","200867_at","55905"
"468","200868_s_at","55905"
"469","200869_at","6142"
"470","200869_at","26780"
"471","200870_at","11171"
"472","200871_s_at","5660"
"473","200872_at","6281"
"474","200873_s_at","10694"
"475","200874_s_at","10528"
"476","200874_s_at","26792"
"477","200874_s_at","692201"
"478","200874_s_at","692213"
"479","200874_s_at","100302138"
"480","200875_s_at","10528"
"481","200875_s_at","26792"
"482","200875_s_at","692201"
"483","200875_s_at","692213"
"484","200875_s_at","100302138"
"485","200876_s_at","5689"
"486","200877_at","10575"
"487","200878_at","2034"
"488","200879_s_at","2034"
"489","200880_at","3301"
"490","200881_s_at","3301"
"491","200882_s_at","5710"
"492","200883_at","7385"
"493","200884_at","1152"
"494","200885_at","333926"
"495","200885_at","389"
"496","200886_s_at","5223"
"497","200887_s_at","6772"
"498","200888_s_at","9349"
"499","200888_s_at","619505"
